S.N,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
417,0,0.11,0,0,0,0,0.24,0,0.612,0.56,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,66
418,0.55,0.63,0,0,0.15,1.65,0.88,0,0,0.51,0.36,0,0,0,0,0,0.05,0,0,0,0,0.32,0,0,60
419,0,0,0,0,0,0,0,0.84,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0.085,0,74
420,0,0,0,0,0.65,0,0.12,0.3026,0.1,0,0.85,0.25,0,0,0,0,0,0.01,0,0,0,0,0.552,0,68
421,0,0.33,0,0,0,2.44,0.562,0,0.33,0.25,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,76
422,0.15,0.36,0,0.32,0,2.51,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.15,0,0,80
423,0,0,0,0,0,0,0.12,0.51,0,0,0,0,0,0.32,0,0,0.01,0,0,0,0,0,0,0,90
424,0,0,0.66,0.15,0.11,0,0,0.5,0.72,0,0,0,0.32,0,0.11,0,0,0.06,0,0,0,0,0,0,44
425,0,0.5,0,0,0,0.61,0.15,0.433,0.15,0.36,0.96,1.19,0,0,0.15,0,0,0,0,0,0,0,0,0,52
426,0,0,0,0,0,0,0.52,0.25,0.15,0,0.15,0,0,0,0.22,0,0,0,0,0,0,0.52,0,0,84
427,0.52,0,0,0.65,0.55,0,0.52,0.515,1.03,0.6,0.33,0.32,0,0.48,0,0,0.001,0,0,0,0,0,0,0,70
428,0,0.55,0,0,0.15,0.6,0,0.85,0.55,0.32,0.9,0.215,0.15,0,0.15,0,0.05,0,0,0,0,0,0,0,58
429,0,0.55,0,0.55,0.62,0,0.35,0.23,0.22,0.51,0.23,0.15,0,0,0.55,0,0,0,0,0,0,0.03,0.32,0.26,66
430,0,0,0.5,0.51,0.51,0,1.2,1.611,0.156,0,0.4,1.3,0.51,0,0.22,0,0,0.006,0,0,0,0.11,0,0,38
431,0.61,0,0,0,0,0,0.6,1.34,1.43,0.4,0,0,0.51,0.51,0,0,0,0.08,0,0,0,0,0,0,42
432,0,0.88,0,0,0,0.61,0.26,0.222,2.05,0.85,0,0,0.78,0,0.32,0.01,0,0.02,0,0,0,0,0,0,52
433,0,0.145,0,0,0,0,0.15,0.41,1.44,0.15,0.52,0,0.55,0,1.7151,0,0,0.01,0,0,0,0,0.15,0,58
434,0,0,0.15,0,0,0,0.22,0.61,0.98,0.1,0,0.65,0.17,0,0,0,0,0,0,0,0,0,0,0,58
435,0.015,0,0,0,0,0.148,0.62,0.56,1.92,0,0.15,0.15,0.45,0.33,0.15,0,0,0.08,0,0,0,0,0,0,40
436,0,0,0,0,0,0,0.66,1.1612,0.85,0.82,0,0.52,0,0,0,0,0.12,0,0.32,0,0,0.3,0,0.5,50
437,0,0,0,0,0.51,0.65,0,1.11,0.651,0.164,0,0,0,0,0,0,0.11,0.15,0.15,0,0,0,0,0.158,28
438,0.15,0,0,0,0.15,0.15,0,0,0.621,0.513,0.62,0,0,0.51,1.026,0,0,0,0,0.32,0,0,0,0,74
439,0,0.55,0,0,0.63,0.5,0,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0,72
440,0,0.52,0,0,0.62,0,0,0,0,0,0.6,0.18,0,0,0.26,0,0,0,0,0.55,0,0.15,0.516,0.15,64
441,0,0,0.15,0,0,0,0.762,0.15,0,0.63,0,0,0,0,1.086,0,0.04,0.02,0.32,0.15,0,0,0,0,54
442,0.633,0.53,0.3,0,0.11,0.51,0.62,0,0,0,0,0,0,0.11,0.63,0,0,0,0.216,0,0,0,0,0,64
443,0,0,0,0,0,0,0,0.765,0.63,0,0.84,0,0,0,0.63,0,0,0,0.51,0,0.36,0,0,0,66
444,0,0,0.63,0,0,0,0.32,0.975,0.26,0,0.63,0,0,0.5,1.25,0,0,0,0.66,0,0.15,0.52,0,0,56
445,0,0,0,0,0.15,0,0.872,0,0.941,0,0.12,1.061,0,0,0.85,0.23,0.51,0,0,0.51,0.565,0,0.612,0,18
446,0.1,0.6,0.5,0,0,0,0.5,0.78,1.21,0.5,0.62,0.05,0.41,0,1.85,0.1,0,0.06,0,0.51,0,0,0,0,30
447,0,0,0,0,0,0,0,0.66,0.87,0,0.51,0,0,0,1.73,0,0.1,0,0,0,0,0.52,0,0,56
448,0,0,0,0,0.51,0,0.25,1.2551,0.75,0,0,0,0,0.51,0,0,0,0,0,0.33,0,0,0.16,0,72
449,0,0,0.52,0,0,0,0.11,0.93,0.85,0.3,0.32,0.52,0,0,0,0.14,0,0,0.32,0.15,0,0,0.16,0,42
450,0.15,0,0,0,0,0,0.62,0,0.846,0,0,0,0,0.11,0.5621,0.15,0,0,0.32,0.515,0.55,0,0.062,0,50
451,0.51,0,0,0,0,0,0,0.95,0.15,0,0.5,0.1,0,0.15,0.18,0,0,0.156,0.055,0.2,0,0,0.15,0,34
452,0.062,0,0.23,0,0,0,0,0.265,0.15,0,0,0,0,0,0,0.05,0.01,0,0.85,0,0,0,0,0,70
453,0.52,0,0,0,0,0.52,0.666,0,0.51,0.15,0.32,0,0,0,0.62,0,0,0,0,0,0,0,0,0,72
454,0,0.3,0,0,0,0,0.12,0.22,1.81,0,0,0,0,0.15,0,0,0,0.05,0,0,0,0,0,0,50
455,0.11,0.1,0,0,0,0,0.51,0.81,1.69,0,0.35,0.61,0.11,0.33,0,0,0,0,0,0,0.51,0,0,0,40
456,0,0,0.51,0,0,0,0.85,0.32,2.54,0.12,0.3,0,0.15,0,0.615,0.01,0.08,0.1,0,0,0,0,0,0,28
457,0,0,0.5,0,0,0,0,0.66,0.78,0,0.12,0,0,0.145,0,0,0,0,0,0,0,0,0,0.644,62
458,0,0.15,0.3,0,0.85,0,0.52,0,1.92,0,0.541,0.18,0,0.52,1.21,0,0,0,0.52,0.05,0.52,0,0,0,48
459,0.015,0,0.32,0,0,0,0.81,0,1.17,0,0,0.15,0,0.55,0.74,0,0.08,0,0,0,0.02,0,0,0,54
460,0,0,0.2,0,0,0.51,0.2,1.232,1.4,0,0,0.5,0,0.5665,0.1,0.01,0,0,0,0,0.5,0,0,0.656,48
461,0.12,0,0.15,0,0,0,0.37,0.44,2.01,0,0.55,0.562,0.36,0.78,0.85,0,0,0,0.15,0,0.63,0,0,0,58
462,0,0,0.2,0,0,0,0.495,0,1.26,0,0.51,0.145,0,0.4566,0.45,0,0,0.02,0,0.33,0.621,0,0,0.61,38
463,0,0.33,0,0,0.1,0,0,1.95,1.391,0.32,0.514,0,0,0,0.77,0.08,0,0,0,0,0.15,0,0,0,58
464,0.22,0.5,0,0,0,0,1.81,2.0415,0.48,0,0.7,0,0.51,0,0,0.15,0,0,0.33,0,0,0,0,0,62
465,0,0,0,0,0,0,0.32,2.041,1.18,0,1.02,0,0,0,0,0,0,0.064,0,0.15,0,0,0,0,46
466,0,0,0,0,0,0.77,0,2.64,0,0.52,0.51,0,0,0,1.36,0.15,0,0,0,0,0.51,0,0,0,48
467,0.15,0.155,0,0,0.6,0,1.3,1.16,0.36,0,0,0,0,0,0.47,0,0,0,0,0,0.52,0,0,0,64
468,0,0,0,0,0,0,0.51,1.031,1.27,0.45,0,0,0.62,0,0.25,0,0,0,0.01,0.05,0.5,0,0,0,64
469,0,0.52,0,0,0,0,0,0,0.51,0,0.85,0,0,0.45,0.63,0,0,0,0.045,0,0.51,0,0,0,60
470,0.63,0.5,0,0,0,0,0.85,0.84,0.99,0,0.1625,0,0,0.585,0.711,0,0,0,0,0.11,0.015,0,0,0,64
471,0,0,0,0,0,0,1.765,0,1.82,0,0.15,0,0.15,0.956,0,0,0,0,0,0,0,0,0,0,76
472,0,0,0,0,0,0,0.552,0,1.35,0.65,0.55,0,0,0.345,0,0,0,0,0,0,0,0,0,0,78
473,0,0,0,0,0,0,0.78,0.62,1.35,0,0.84,0,0.51,0,0.21,0.62,0,0,0,0.003,0,0,0,0,44
474,0,0,0,0,0,0,1.015,0,0.78,0,0.74,0,0,0,0,0,0,0,0,0,0.015,0,0,0,86
475,0,0,0,0,0,0,1.23,0,0.85,0.855,1.02,0,0,0,0,0,0,0.001,0,0,0,0,0,0,82
476,0,0,0,0.15,0,0,1.73,0.51,1.48,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,84
477,0,0.24,0,0,0,0,0.11,0.63,0.15,0.11,0.65,0,0,0.12,0.11,0,0,0,0,0,0,0,0,0,78
478,0.11,0,0,0,0,0,0.3,0.32,0,0,0,0,0.2,0,0.23,0,0.007,0,0,0,0,0,0,0,84
479,0,0.15,0,0,0.32,0,0.26,0.15,0,0.1,0.2,0,0,0.33,0.32,0,0,0,0,0,0,0,0,0,78
480,0,0,0,0,0,0,0,0,0.32,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,86
481,0,0,0,0,0,0.63,0.32,0.1,0.32,0,0.32,0,0,0,0,0,0,0,0.04,0,0.15,0,0,0,82
482,0,0,0,0,0,0,0,0.29,0.11,0.32,0,0,0.32,0,0.3,0,0,0,0,0,0,0,0,0,88
483,0.032,0,0,0,0,0,0.21,0.33,0.14,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,82
484,0,0,0,0,0.15,0,0,0.1,0,0,0.41,0.1,0,0,0.15,0.01,0,0,0,0,0,0,0,0,80
485,0,0.11,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.32,0,0,0.002,0,0,0,0,0,0,82
486,0.15,0,0,0,0,0.25,0,0,0,0,0.17,0,0,0,0.12,0,0,0,0.32,0,0,0,0,0,84
487,0,0,0,0,0,0,0.25,0.52,0.1,0,0.11,0,0,0.1,0,0,0,0,0,0,0,0.01,0.05,0,84
488,0,0,0,0.45,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,76
489,0,0,0,0,1.21,0,0,0.42,0.07,0,0,0.156,0.015,0.32,0,0,0,0,0,0,0,0,0,0,86
490,0,0.1,0,0,0,0,0,0.41,0,0,0.61,0,0,0,0,0.008,0,0,0,0,0,0,0,0,86
491,0,0,0,0,0,0,0,0,0.721,0,0,0,0,0,0.1,0,0,0.003,0,0,0,0,0,0,84
492,0,0,0,0,0,0,0,0,0,0.26,0.5,0,0,0.3,0,0,0,0,0.1,0,0,0,0,0,78
493,0.62,0,0,0,0,0.51,0.15,0.3,0,0,0.21,0,0,0,0,0,0.001,0,0,0,0,0,0,0,84
494,0,0,0,0.15,0.5,0.12,0.51,0,0,0,0.1,0,0.2,0.1,0,0,0,0,0,0,0.52,0,0,0,72
495,0,0.32,0,0,0,0,0.2,0,0,0,0,0.512,0,0,0,0,0,0,0,0,0,0,0,0,86
496,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0,0,0,0,0.009,0,0,0,0,0,0,0,0,76
497,0.1,0,0,0,0,0,0,0.2,0,0,0.36,0,0.5,0,0.521,0.1,0,0.01,0,0,0,0,0,0,58
498,0,0,0,0,0.84,0,0.51,0,0.21,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,88
499,0,0.11,0,0,0,0,0,0.05,0.5,0.41,0,0.1,0,0.1,0,0,0.004,0,0,0,0,0,0,0,70
500,0,0,0,0,0,0.32,0,0,0.55,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,90
501,0.15,0,0,0,0,0,0.12,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,90
502,0,0.232,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,72
503,0.2,0,0.1,0,0.656,0.516,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,78
